latitude,longitude,rwi,error
12.4151184,-16.0729980,-0.383,0.406
12.2219175,-14.1174316,-0.166,0.342
12.0070844,-15.4138184,-0.267,0.372
12.2433913,-14.5568848,-0.471,0.348
11.8996033,-15.6115723,0.689,0.446
12.3721972,-14.5349121,-0.121,0.345
12.1360050,-15.9411621,-0.621,0.343
12.0500648,-15.8093262,-0.755,0.361
11.8996033,-15.8972168,-0.432,0.346
12.4365763,-15.2819824,0.273,0.362
12.0930384,-15.3259277,-0.457,0.353
12.1789647,-14.7326660,-0.351,0.343
12.0070844,-14.8425293,-0.478,0.424
11.4261866,-14.7985840,-0.389,0.345
11.9426009,-15.6335449,0.221,0.467
12.3507339,-16.2048340,-0.408,0.348
12.1574857,-14.5129395,-0.438,0.340
12.6296178,-15.0622559,-0.479,0.358
12.6724962,-14.4909668,-0.536,0.350
12.2648633,-14.6228027,-0.572,0.341
11.8350943,-14.6228027,-0.483,0.341
12.4151184,-13.8977051,-0.442,0.343
12.6081759,-15.0183105,-0.724,0.348
11.6629959,-14.7546387,-0.638,0.342
12.3936586,-16.1389160,-0.643,0.346
10.9951198,-15.0842285,-0.595,0.348
12.2433913,-15.2600098,-0.603,0.343
12.0285754,-15.0622559,-0.234,0.375
12.2648633,-14.4470215,-0.143,0.382
11.9426009,-15.6994629,-0.226,0.370
12.4151184,-16.1608887,-0.560,0.406
11.5769066,-15.5017090,-0.862,0.342
11.9640971,-14.2712402,-0.773,0.342
11.2322862,-14.8645020,-0.119,0.342
11.4692577,-15.1501465,-0.560,0.343
12.3936586,-14.2492676,-0.386,0.343
12.2863336,-15.4797363,-0.565,0.343
12.4365763,-15.5017090,-0.360,0.363
12.6510579,-14.2712402,-0.340,0.350
12.2433913,-14.4470215,-0.646,0.342
12.1789647,-14.1394043,-0.544,0.342
11.8565990,-14.7766113,-0.577,0.356
12.3507339,-14.3151855,-0.340,0.357
12.3507339,-16.4245605,-0.393,0.354
12.1789647,-14.7546387,-0.711,0.359
12.5438394,-14.8864746,-0.787,0.344
12.0715524,-15.5456543,-0.348,0.368
12.5652867,-14.1833496,-0.492,0.345
11.2753865,-15.8312988,-0.435,0.345
12.3721972,-13.6560059,-0.703,0.352
11.9211029,-14.7326660,-0.606,0.341
11.9426009,-15.8093262,-0.366,0.370
11.9640971,-15.8532715,-0.645,0.348
12.3936586,-15.5895996,-0.641,0.366
12.3507339,-14.1174316,-0.727,0.342
11.7490585,-15.5017090,-0.117,0.346
12.3721972,-14.8205566,-0.734,0.359
12.2219175,-14.5788574,-0.419,0.388
12.2648633,-14.6887207,-0.472,0.343
12.0285754,-15.1501465,-0.650,0.409
12.2863336,-16.0729980,-0.455,0.345
12.1789647,-15.9411621,-0.469,0.343
12.3292689,-15.6115723,-0.559,0.347
12.5867322,-15.1281738,-0.764,0.347
11.8350943,-14.7985840,-0.408,0.341
12.3936586,-15.9631348,-0.703,0.344
12.2433913,-15.1501465,-1.009,0.344
12.5438394,-15.1501465,-0.174,0.344
11.9855916,-14.5788574,-0.568,0.339
12.3292689,-15.1281738,-0.855,0.343
12.0285754,-14.9304199,-0.051,0.379
12.2433913,-16.2048340,-0.953,0.345
12.2219175,-14.8425293,-0.787,0.344
11.7490585,-15.4797363,-0.281,0.345
12.2433913,-14.9304199,-0.790,0.346
11.8996033,-15.5456543,-0.474,0.462
12.3292689,-16.6003418,-0.683,0.349
12.2219175,-15.3259277,-0.528,0.357
12.3507339,-15.7434082,-0.948,0.351
11.7275454,-15.2380371,-0.772,0.342
11.7060306,-14.7766113,-0.405,0.342
12.3078021,-16.4245605,-0.166,0.347
12.1360050,-14.8205566,-0.707,0.376
11.6845141,-14.7766113,-0.204,0.358
12.3292689,-15.7873535,-0.585,0.350
11.9640971,-16.2048340,-0.931,0.344
12.0715524,-16.1828613,-0.458,0.347
11.7920798,-13.9196777,-0.631,0.346
11.6414761,-14.3591309,-1.025,0.344
12.2433913,-14.2932129,-0.620,0.367
12.1360050,-14.8425293,-0.454,0.344
11.9855916,-16.0510254,-0.272,0.344
11.4477230,-14.9304199,-0.594,0.346
12.3507339,-15.8093262,-0.437,0.349
12.5652867,-15.0402832,-0.671,0.347
12.3292689,-15.5236816,-0.440,0.345
11.1676236,-15.2380371,-0.042,0.347
12.0715524,-15.5017090,-0.273,0.345
12.4365763,-14.5568848,-0.201,0.342
11.4046486,-14.9304199,-0.597,0.346
12.3078021,-15.3698730,-0.512,0.343
11.2969342,-15.0842285,-0.370,0.346
12.2219175,-14.1833496,-0.565,0.341
12.3936586,-15.2160645,-0.503,0.383
12.3936586,-14.7106934,-0.775,0.345
12.3078021,-13.9855957,-0.446,0.357
11.9640971,-16.2927246,-0.412,0.349
12.4365763,-14.0515137,-0.647,0.344
12.4580325,-14.8864746,0.153,0.344
12.4794869,-15.3039551,-0.629,0.349
12.3721972,-14.5788574,-0.502,0.352
11.5769066,-15.9191895,-0.315,0.361
11.5769066,-15.9411621,-0.147,0.345
12.2863336,-15.5017090,-0.329,0.343
12.5867322,-14.4689941,-0.374,0.363
12.3721972,-15.1281738,-0.816,0.407
12.6296178,-15.0183105,-0.674,0.349
12.1789647,-15.9851074,-0.456,0.345
12.1789647,-14.5788574,-0.973,0.340
11.8996033,-15.6774902,-0.459,0.415
11.7490585,-14.0075684,-0.264,0.361
11.8781020,-15.1501465,-0.737,0.345
12.3507339,-15.1940918,-0.422,0.351
12.4151184,-15.0622559,-0.427,0.344
12.5867322,-15.1721191,-0.770,0.346
12.0715524,-16.0070801,-0.166,0.412
12.3936586,-16.2707520,-0.195,0.361
12.4580325,-15.5017090,-0.420,0.346
