latitude,longitude,rwi,error
12.5009395,-5.2185059,-0.500,0.262
14.4665962,-3.6145020,-0.920,0.270
11.6414761,-8.0969238,-0.681,0.327
12.1574857,-10.4699707,-0.229,0.249
16.0774856,-3.9001465,0.202,0.321
15.8239658,-3.8781738,-0.244,0.280
12.8653594,-4.8229980,-0.346,0.272
14.3601909,-9.1955566,-0.782,0.320
15.2735868,-11.3049316,-0.629,0.257
12.2648633,-7.6354980,-0.530,0.277
13.9340669,-5.7897949,-0.296,0.269
14.6579971,-4.0319824,-0.340,0.262
12.2219175,-7.6574707,-0.256,0.281
12.5652867,-4.7570801,-0.976,0.273
15.4219101,-0.5163574,-0.594,0.251
16.9832482,-0.8020020,-0.520,0.283
13.8914108,-3.9001465,-0.510,0.256
10.8656756,-6.0314941,-0.178,0.374
13.6993616,-11.8542480,-0.172,0.272
10.7577626,-6.7346191,-0.483,0.254
11.8996033,-5.2404785,-0.445,0.292
12.8867796,-6.9982910,-0.608,0.274
12.7153674,-5.3063965,-0.665,0.259
13.8700799,-9.5910645,-0.209,0.267
13.1222796,-6.5808105,-0.299,0.296
13.9553920,-5.3503418,0.356,0.509
12.3292689,-4.6252441,-0.623,0.257
13.4003068,-7.7014160,-0.825,0.276
14.0833011,-4.2517090,-0.553,0.266
12.5009395,-6.6247559,-0.520,0.284
14.4665962,-11.3708496,-0.263,0.372
14.8067491,-6.0095215,0.201,0.433
14.7430107,-10.0085449,-0.390,0.268
11.3615678,-5.8776855,-0.687,0.264
14.1898373,-3.9660645,-0.596,0.260
12.9938527,-9.3054199,-1.078,0.298
15.9718913,2.4060059,-0.740,0.278
10.4121830,-7.4157715,-0.553,0.265
12.6296178,-5.9216309,-0.677,0.263
12.5652867,-5.9655762,-0.711,0.277
12.5652867,-7.6794434,-0.120,0.310
13.7207082,-5.7678223,-0.508,0.282
12.3936586,-10.5139160,-1.003,0.263
15.2523892,-9.4372559,-0.692,0.387
12.2648633,-4.8889160,-0.595,0.274
15.4007275,-7.4816895,-0.184,0.276
15.8873757,-4.1857910,-0.307,0.291
12.5438394,-4.4055176,0.007,0.263
14.4878712,-2.3181152,-0.588,0.247
13.1864679,-8.4704590,-0.565,0.269
13.3789314,-7.6574707,-0.927,0.277
13.3575541,-9.5471191,-0.308,0.289
12.8653594,-7.5476074,0.475,0.469
15.6124559,-4.0539551,-0.347,0.297
11.3831090,-7.6574707,-0.727,0.264
12.0500648,-5.7458496,-0.945,0.264
11.6845141,-8.2946777,-0.966,0.278
12.7368003,-9.2175293,-0.565,0.262
12.4365763,-6.5588379,-0.729,0.268
12.7368003,-5.6359863,-0.487,0.265
18.1354112,1.2854004,-0.564,0.266
12.9510290,-5.3283691,-0.386,0.264
16.2674138,-2.0324707,-0.570,0.256
15.3795428,-10.4040527,-0.550,0.274
13.7633955,-3.5705566,-0.815,0.260
12.1145226,-5.0427246,0.201,0.311
13.0794780,-5.4821777,-0.662,0.278
15.6336167,-0.4724121,-0.821,0.251
11.5338520,-5.5920410,-0.592,0.266
13.8487469,-7.5256348,0.059,0.280
10.5418209,-7.0202637,-0.832,0.254
14.1259215,-6.0754395,-0.742,0.278
13.6566625,-6.0754395,-0.337,0.394
16.1830238,-0.0329590,0.137,0.351
12.0285754,-6.5368652,-0.614,0.281
14.1685340,-4.9328613,-0.282,0.257
12.0715524,-10.6457520,-0.248,0.249
15.4219101,-8.5803223,-0.634,0.275
14.1472288,-3.3508301,-0.638,0.259
13.7633955,-5.4602051,-0.374,0.266
11.7705700,-6.1853027,-0.574,0.261
12.2433913,-8.7780762,-0.410,0.271
13.8060751,-3.3508301,-0.727,0.259
10.3905714,-6.9982910,-0.651,0.285
13.8274120,-4.8669434,-0.622,0.279
16.6256648,0.3625488,-0.741,0.262
13.5285192,-8.0529785,-0.214,0.323
13.2078602,-4.3395996,-0.495,0.255
13.6993616,-5.2624512,-0.028,0.294
14.1472288,-6.4929199,-1.086,0.301
13.6353101,-11.0192871,-0.352,0.263
12.9510290,-4.8229980,-0.543,0.263
14.1046123,-7.6574707,-0.479,0.276
11.9211029,-8.0969238,-0.631,0.265
11.9211029,-8.3166504,-0.150,0.262
14.4878712,-10.5578613,-0.635,0.296
11.3184804,-7.5256348,-0.158,0.288
10.5634219,-5.5480957,-0.019,0.256
14.8704688,-10.0964355,-0.030,0.282
12.8867796,-4.4494629,-0.636,0.259
17.7172934,1.1975098,-0.007,0.261
14.2750302,-4.0100098,-0.840,0.259
13.2292507,-8.4924316,-0.557,0.266
15.4007275,-3.7683105,-0.600,0.267
14.4878712,-7.1301270,-0.273,0.300
11.3184804,-7.7893066,-0.572,0.269
14.4665962,-4.0759277,-0.377,0.306
12.0715524,-4.6691895,-0.115,0.262
12.4365763,-6.4929199,-0.560,0.283
10.6714043,-8.0749512,-0.483,0.279
11.4907908,-7.3278809,-0.599,0.280
12.6510579,-4.5812988,-0.465,0.258
11.5553801,-8.2727051,-0.508,0.263
12.8010881,-6.0534668,-0.460,0.283
11.2538371,-5.2844238,-0.443,0.259
14.2750302,-3.4826660,-0.170,0.260
14.9553991,-6.5368652,-0.270,0.272
12.3292689,-4.9108887,-0.479,0.257
15.1251586,-2.1643066,-0.205,0.245
12.9081979,-5.7897949,-0.321,0.273
13.9127399,-3.5266113,-0.978,0.257
11.3615678,-5.7238770,-0.265,0.279
11.3184804,-5.6359863,0.534,0.434
12.6296178,-7.3059082,-0.744,0.296
12.0930384,-5.3942871,-0.600,0.260
13.6353101,-5.8996582,-0.449,0.311
14.6792536,-11.3928223,-0.812,0.268
10.7577626,-6.2072754,-0.530,0.287
12.4580325,-4.8889160,-0.806,0.260
14.6154780,-2.5817871,-0.529,0.249
15.4854449,0.6481934,-0.480,0.264
15.4642688,-6.8884277,-0.734,0.271
13.7847363,-7.3278809,-0.633,0.278
13.1008797,-9.7888184,-0.702,0.262
12.0715524,-5.3503418,-0.326,0.261
13.7207082,-6.0754395,0.397,0.363
13.5712413,-7.9650879,-0.324,0.302
13.5071552,-3.5705566,-0.661,0.257
16.2041247,-3.1750488,0.090,0.273
12.9081979,-9.2175293,-0.335,0.278
12.5438394,-6.7565918,-0.354,0.287
12.4151184,-5.0866699,-0.750,0.281
10.5202184,-6.8005371,-0.639,0.253
11.9211029,-6.0314941,-0.453,0.279
14.7005081,-11.0192871,-0.285,0.270
12.1789647,-10.6677246,-0.482,0.249
11.7060306,-5.9875488,-0.599,0.271
16.9622326,-0.8898926,-0.701,0.274
13.0152618,-5.1745605,-0.737,0.261
14.5729506,-4.8889160,-0.459,0.255
13.0794780,-7.8991699,-0.285,0.298
14.4665962,-3.7023926,-0.461,0.269
14.1259215,-3.6364746,-0.297,0.325
14.1046123,-7.6794434,-0.737,0.275
14.4665962,-8.5144043,-0.439,0.291
10.6714043,-7.0642090,-0.783,0.270
14.0619878,-11.2390137,-0.590,0.330
12.1574857,-8.1848145,-0.326,0.276
15.2523892,-1.7248535,-0.193,0.243
15.3583559,-10.4699707,-0.170,0.271
12.0930384,-5.2844238,-0.528,0.269
13.5925995,-3.5046387,-0.390,0.270
13.0794780,-10.8435059,-0.632,0.273
12.4151184,-5.9216309,-0.684,0.277
12.6939327,-11.1950684,-0.268,0.267
11.4261866,-7.9431152,-0.712,0.302
13.8487469,-4.4714355,-0.588,0.294
13.8914108,-4.0319824,-0.749,0.257
12.7368003,-4.4274902,-0.633,0.263
10.4986143,-8.0749512,-0.663,0.279
12.2648633,-8.1848145,-0.127,0.349
12.3936586,-6.9323730,-0.567,0.269
12.6939327,-5.9875488,-0.695,0.276
14.7217604,-3.2849121,-0.465,0.266
13.4003068,-6.0974121,-0.818,0.269
14.4665962,-10.8435059,-0.769,0.293
15.2735868,-3.1311035,-0.139,0.253
14.2537350,-2.6916504,-0.480,0.250
12.2004420,-5.1086426,-0.703,0.258
11.6629959,-5.9436035,-0.145,0.287
14.0406726,-11.7224121,-0.267,0.436
10.6714043,-5.6359863,-0.643,0.256
13.0580745,-7.7233887,-0.343,0.272
14.1898373,-5.9436035,-1.025,0.297
11.3184804,-7.0861816,-0.637,0.316
13.5498812,-8.2067871,-0.577,0.276
15.4219101,-1.7248535,-0.447,0.278
12.5009395,-5.2844238,-0.661,0.267
13.4430519,-11.2170410,-0.914,0.252
12.5223904,-7.1740723,-0.788,0.276
13.8060751,-8.1848145,-0.667,0.283
11.0813844,-7.0422363,-0.778,0.262
11.7920798,-8.0749512,-0.099,0.321
12.3721972,-5.6579590,-0.434,0.299
12.8010881,-5.6799316,-0.347,0.264
15.4642688,-4.1638184,-0.411,0.265
12.6510579,-4.7570801,-0.768,0.265
12.7368003,-9.8547363,-0.407,0.262
11.1460662,-8.1408691,-0.832,0.295
13.5498812,-3.3947754,-0.534,0.249
10.5634219,-6.9982910,-0.824,0.254
13.7847363,-6.3830566,-0.572,0.277
13.6780130,-4.9548340,-0.115,0.276
13.9553920,-6.0534668,-1.041,0.304
13.8487469,-5.1306152,-0.589,0.275
14.1685340,-11.9201660,-0.208,0.252
11.0813844,-7.9431152,-0.436,0.266
14.5516838,-2.6037598,-0.206,0.248
13.3789314,-6.5588379,-0.497,0.289
15.2099875,0.3186035,-0.487,0.257
14.9978516,-10.4260254,-0.541,0.301
14.7642589,-6.0095215,-0.303,0.306
11.4046486,-6.0095215,-0.704,0.285
12.0500648,-4.8889160,0.139,0.282
12.7796606,-4.6691895,-0.967,0.257
12.2648633,-10.3381348,-0.153,0.256
13.1436775,-9.5031738,-0.331,0.267
13.5498812,-5.9875488,-0.929,0.280
13.9340669,-7.8991699,-0.664,0.275
14.4027591,-11.4367676,0.012,0.408
15.4219101,-3.2409668,-0.399,0.254
12.0500648,-5.3063965,-0.580,0.264
12.0285754,-4.9987793,-0.758,0.261
12.9724418,-6.1633301,-0.441,0.270
13.5712413,-7.9211426,-0.334,0.274
10.9519780,-8.0749512,-0.406,0.265
15.4219101,-3.4167480,-0.809,0.256
13.2720261,-4.4494629,-0.891,0.260
13.0366691,-4.6691895,-0.735,0.259
12.0930384,-6.4050293,-0.559,0.262
13.3147939,-9.3713379,-0.645,0.265
11.7920798,-7.8552246,-0.118,0.274
14.8279911,-5.9436035,-0.422,0.279
12.0285754,-10.7336426,-0.811,0.249
15.9085080,-5.2624512,-0.896,0.282
14.2963234,-7.9870605,-0.796,0.273
15.1887835,-1.1096191,-0.380,0.249
14.4027591,-3.5485840,-0.800,0.299
12.4794869,-5.4162598,-0.682,0.262
14.8704688,-9.0637207,-0.707,0.290
13.3147939,-10.2502441,-0.602,0.257
13.5925995,-10.0524902,-0.795,0.260
14.1898373,-3.2849121,-0.655,0.257
14.7642589,-6.1633301,-0.354,0.310
16.1619207,0.0769043,-0.369,0.291
14.3176146,-2.8454590,-0.470,0.252
13.9980363,-7.4377441,-0.404,0.289
15.3371669,-0.0769043,-0.567,0.253
15.2099875,-8.4265137,-0.040,0.269
14.8704688,-8.3825684,-0.286,0.325
13.8274120,-5.6579590,-0.427,0.290
14.9978516,-2.1643066,-0.398,0.246
15.0615146,0.2307129,-0.548,0.255
13.5498812,-6.2731934,-0.600,0.275
15.5277906,-0.6701660,-0.064,0.250
15.4219101,1.0437012,-0.834,0.259
