latitude,longitude,rwi,error
12.3721972,15.2160645,-0.388,0.342
12.2004420,18.2043457,-0.310,0.353
10.7361753,15.6115723,-0.870,0.343
14.3176146,14.2053223,-0.367,0.353
12.4151184,17.4133301,-0.790,0.353
14.5516838,21.7639160,-0.557,0.327
18.2189158,19.2150879,-0.473,0.323
9.2864645,17.2375488,-0.573,0.355
15.1675773,22.2692871,-0.502,0.338
14.2111385,20.9069824,-0.674,0.333
14.6367386,21.0607910,-0.476,0.343
8.5049700,16.0070801,-0.500,0.356
8.5918843,17.4353027,-0.678,0.367
9.1129444,17.2155762,-1.035,0.360
8.7656527,16.4025879,-0.638,0.353
13.6566625,21.8518066,-0.273,0.331
9.1346391,16.2048340,-0.485,0.356
8.6570568,18.5339355,-0.664,0.363
13.4216803,15.6115723,0.016,0.351
9.5899171,17.6989746,-1.187,0.359
13.9767151,15.5676270,-0.006,0.367
12.6296178,14.9743652,-0.797,0.342
9.1997151,15.5236816,-0.667,0.355
9.1563324,16.9519043,-0.622,0.352
14.1685340,15.9631348,-0.338,0.353
10.5634219,16.2048340,-0.846,0.343
9.4165483,15.9631348,-0.274,0.348
13.8060751,14.6887207,-0.375,0.347
10.2392486,16.6882324,-0.020,0.373
14.5516838,14.7985840,-0.022,0.362
10.1960002,16.2048340,-0.700,0.339
9.0912484,15.0842285,-0.635,0.346
10.2176252,16.9519043,0.098,0.370
12.8867796,15.2819824,-0.232,0.347
9.3081485,15.7214355,-0.440,0.351
9.0478525,18.6657715,-0.505,0.356
11.1460662,20.1818848,-0.432,0.354
13.6566625,15.3698730,0.247,0.365
7.8524985,16.1608887,-0.677,0.367
14.0193555,16.8859863,-0.300,0.363
13.4216803,20.7531738,-0.397,0.338
8.7656527,16.5344238,-0.675,0.355
8.6570568,15.6335449,-0.726,0.354
14.5091441,22.2473145,-0.123,0.330
8.1571180,16.5344238,-0.746,0.353
11.8781020,17.5451660,-0.448,0.354
12.5009395,19.5666504,-0.778,0.347
13.2934109,16.5783691,-0.520,0.365
16.4782298,22.5109863,-0.426,0.307
9.3948711,16.7102051,-0.157,0.351
13.2720261,15.1281738,0.014,0.350
11.9426009,21.4123535,-0.761,0.344
13.4857894,15.6335449,-0.181,0.353
9.8714518,15.8093262,-0.032,0.394
10.6929962,19.3029785,-0.660,0.343
15.4430906,22.1813965,-0.184,0.314
9.7631974,14.9523926,-0.664,0.344
10.1527460,20.9948730,-0.323,0.343
16.1197076,22.7307129,-0.021,0.311
14.7642589,21.2145996,-0.346,0.336
11.7060306,22.5109863,-0.673,0.344
12.3078021,15.1281738,-0.535,0.342
8.0483515,16.6442871,-0.495,0.355
14.5091441,21.5661621,-0.351,0.359
13.5925995,15.1062012,-0.137,0.354
8.7656527,17.0178223,-0.761,0.360
9.4815719,16.3366699,-0.721,0.357
15.1039461,22.2253418,-0.438,0.334
11.0382553,22.5769043,-0.895,0.332
14.8067491,19.4787598,-0.410,0.329
14.1898373,15.7873535,0.005,0.374
9.1780244,14.9084473,-0.335,0.348
8.5049700,18.3801270,-0.754,0.356
13.2934109,18.1604004,-0.465,0.354
9.8498038,14.3371582,-0.467,0.344
13.0580745,17.3913574,-0.537,0.361
8.3962996,16.9519043,-0.327,0.360
11.5769066,20.6433105,-0.365,0.342
8.5267005,18.3581543,-0.426,0.353
14.5091441,20.9509277,-0.409,0.353
