district,population,hhid,subnatid1,subnatid2,age,hsize,welfare,whours,rooms,regioncode,geometry,hhweight
AEROPORTO INTERNACIONAL DE MAPUTO,5958,24,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,33,8,20407.158203125,50,5,100,32.569883174738|-25.9754843756433,49.0126032113151
AEROPORTO INTERNACIONAL DE MAPUTO,5958,25,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,25,8,20407.158203125,50,5,100,32.5749556114389|-25.9714349993993,58.6976011298359
AEROPORTO INTERNACIONAL DE MAPUTO,5958,26,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,1,8,20407.158203125,50,5,100,32.5884947337157|-25.9678757450658,45.1902486573833
AEROPORTO INTERNACIONAL DE MAPUTO,5958,27,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,4,8,20407.158203125,50,5,100,32.5824694309085|-25.9625437344643,48.2794003052023
AEROPORTO INTERNACIONAL DE MAPUTO,5958,28,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,7,8,20407.158203125,50,5,100,32.5662218140374|-25.9747261244453,51.3585170765453
AEROPORTO INTERNACIONAL DE MAPUTO,5958,29,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,68,8,20407.158203125,50,5,100,32.5982517070118|-25.9575654589931,47.8593288549679
AEROPORTO INTERNACIONAL DE MAPUTO,5958,30,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,18,8,20407.158203125,50,5,100,32.6046339943829|-25.9551289300827,51.880687761188
AEROPORTO INTERNACIONAL DE MAPUTO,5958,31,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,23,8,20407.158203125,50,5,100,32.5593382917497|-25.969615500725,40.6277430851067
AEROPORTO INTERNACIONAL DE MAPUTO,5958,166,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,57,6,29478.2890625,50,3,100,32.5742065675062|-25.9778043863395,36.2272275713589
AEROPORTO INTERNACIONAL DE MAPUTO,5958,167,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,17,6,29478.2890625,50,3,100,32.562091952829|-25.968377362954,48.1273253491377
AEROPORTO INTERNACIONAL DE MAPUTO,5958,168,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,27,6,29478.2890625,50,3,100,32.6098451638836|-25.9527382975569,44.7112194544171
AEROPORTO INTERNACIONAL DE MAPUTO,5958,169,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,34,6,29478.2890625,50,3,100,32.5915717334727|-25.9644836869174,43.1973045879509
AEROPORTO INTERNACIONAL DE MAPUTO,5958,170,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,1,6,29478.2890625,50,3,100,32.5747418687031|-25.9609663581859,46.2878241303724
AEROPORTO INTERNACIONAL DE MAPUTO,5958,171,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,1,6,29478.2890625,50,3,100,32.5891272532379|-25.9545142194575,40.0563128308549
AEROPORTO INTERNACIONAL DE MAPUTO,5958,650,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,25,4,7941.14501953125,50,3,100,32.5917973524779|-25.9551381634749,39.7139087207585
AEROPORTO INTERNACIONAL DE MAPUTO,5958,651,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,24,4,7941.14501953125,50,3,100,32.5907238268468|-25.9693627517746,50.8662638083351
AEROPORTO INTERNACIONAL DE MAPUTO,5958,652,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,1,4,7941.14501953125,50,3,100,32.606866250049|-25.9561366818916,51.0772543674248
AEROPORTO INTERNACIONAL DE MAPUTO,5958,653,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,10,4,7941.14501953125,50,3,100,32.5921035315666|-25.9710439071099,44.3607834535668
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1335,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,54,2,96453.8671875,50,7,100,32.5938792179951|-25.9567650765844,51.747102816889
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1336,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,50,2,96453.8671875,50,7,100,32.5938180037448|-25.9698512230508,48.8465901339173
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1625,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,54,1,46895.234375,36,2,100,32.5666299166481|-25.9715854497127,46.6561142467529
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1783,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,52,6,7343.30615234375,10,3,100,32.5768429011811|-25.9725229018727,36.5535293928394
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1784,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,13,6,7343.30615234375,50,3,100,32.6105756611751|-25.9467865343897,51.0756873566568
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1785,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,15,6,7343.30615234375,50,3,100,32.5656920200394|-25.9636945567033,53.6134995629247
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1786,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,22,6,7343.30615234375,60,3,100,32.5950821523652|-25.9783164825512,46.3980121746351
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1787,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,27,6,7343.30615234375,50,3,100,32.5874944102286|-25.9800757289792,44.9022781797548
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1788,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,5,6,7343.30615234375,50,3,100,32.5824061580576|-25.9766780349744,46.0725101631514
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1831,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,32,7,10051.58984375,34,5,100,32.5792036359106|-25.9662396087588,45.8802894203119
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1832,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,25,7,10051.58984375,50,5,100,32.5954227056774|-25.975382290678,38.4327988949532
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1833,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,3,7,10051.58984375,50,5,100,32.5550990702756|-25.9686595586385,41.4184540150805
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1834,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,79,7,10051.58984375,50,5,100,32.5849498925568|-25.959558857178,51.470340537144
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1835,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,67,7,10051.58984375,70,5,100,32.5885565860783|-25.9675059220858,44.9713007322842
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1836,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,22,7,10051.58984375,50,5,100,32.5750275510634|-25.9650901989872,43.8998325347834
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1837,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,21,7,10051.58984375,50,5,100,32.5941368466786|-25.9532368890722,48.7266470175675
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1843,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,88,2,24245.142578125,36,4,100,32.583620064403|-25.9608478566193,51.6070531011584
AEROPORTO INTERNACIONAL DE MAPUTO,5958,1844,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,20,2,24245.142578125,48,4,100,32.5773010946348|-25.9774719400463,41.2913850787144
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2050,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,43,4,35750,50,4,100,32.5964278302669|-25.9573999808941,45.7037690541894
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2051,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,38,4,35750,50,4,100,32.6004075999826|-25.9556671225565,42.3995302961214
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2052,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,3,4,35750,50,4,100,32.5700924613425|-25.9720756914387,46.75991630289
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2053,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,10,4,35750,50,4,100,32.565624897191|-25.9603783124373,52.9088587841729
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2200,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,34,5,24348.97265625,50,5,100,32.5702919882091|-25.9602598351619,51.5407109851628
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2201,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,33,5,24348.97265625,50,5,100,32.5779084323985|-25.9576649856431,46.6767032275519
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2202,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,5,5,24348.97265625,50,5,100,32.5697661934167|-25.9562598157105,44.7962339525563
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2203,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,8,5,24348.97265625,50,5,100,32.5782858272225|-25.9778660905624,42.6094628239809
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2204,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,72,5,24348.97265625,50,5,100,32.5911110139131|-25.9711889727552,35.5841035485477
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2262,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,86,1,136438.328125,50,4,100,32.6068194197353|-25.9545310965999,40.2162355403761
AEROPORTO INTERNACIONAL DE MAPUTO,5958,2263,11 – Maputo Cidade,100 - AEROPORTO INTERNACIONAL DE MAPUTO,62,6,30377.5078125,50,5,100,32.5936624891319|-25.9775232490881,46.3613810084394
